"id","summary_title","coords","lat","lng","URI","apiURI"
"term-116424","Rochester","43.1573,-77.6152","43.1573","-77.6152","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116424","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116424"
"term-116425","Sandwich","51.2753,1.3408","51.2753","1.3408","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116425","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116425"
"term-116426","Sittingbourne","51.3397,0.7342","51.3397","0.7342","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116426","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116426"
"term-116427","Smarden","51.1512,0.6873","51.1512","0.6873","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116427","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116427"
"term-116428","Strood","51.3959,0.4951","51.3959","0.4951","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116428","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116428"
"term-116429","Sturry","51.3026,1.125","51.3026","1.125","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116429","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116429"
"term-116430","Tenterden","51.0637,0.6992","51.0637","0.6992","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116430","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116430"
"term-116431","Tunbridge","43.8889,-72.4937","43.8889","-72.4937","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116431","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116431"
"term-116433","Woodchurch","53.3731,-3.0878","53.3731","-3.0878","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116433","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116433"
"term-116434","Hinckley","46.0113,-92.9444","46.0113","-92.9444","https://data.fitzmuseum.cam.ac.uk/id/terminology/term-116434","https://data.fitzmuseum.cam.ac.uk/api/v1/places/term-116434"
