"id","summary_title","publicationPlace","publicationDate","URI","apiURI"
"publication-200002704","Turkish Pottery","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002704","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002704"
"publication-200002705","Une institution du monde médiévale: la pecia","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002705","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002705"
"publication-200002707","Il viaggio degli ambasciatori fiorentini al re di Francia nel MCCCCLXI descritto da Giovanni di Francesco di Neri Cecchi loro cancelliere.","NULL","NULL","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002707","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002707"
"publication-200002708","Les Miniaturistes ""romains"" sous Pie II.","Siena","1968","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002708","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002708"
"publication-200002709","The ""Decretum Gratiani"" formerly in the Dyson Perrins Collection.","NULL","1963","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002709","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002709"
"publication-200002710","Gilded medieval Islamic glazed ceramics: non-destructive surface analyses in search of technological features","NULL","2008","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002710","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002710"
"publication-200002711","Ottoman Ceramics in European Contexts","NULL","2004","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002711","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002711"
"publication-200002712","Some Named and Dated Pieces of Earthenware of the Seventeenth and Eighteenth Centuries from the Manfield Collection i n Northampton Museum","London","1913","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002712","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002712"
"publication-200002713","Donato Acciaiuoli and the Medici: A Strategy for Survival in '400 Florence","NULL","1982","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002713","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002713"
"publication-200002714","Die illuminierten Handschriften in Tirol","Leipzig","1905","https://data.fitzmuseum.cam.ac.uk/id/publication/publication-200002714","https://data.fitzmuseum.cam.ac.uk/api/v1/publications/publication-200002714"
